,Abundance,Substructure,SMILES,SMARTS
195,37678,Sulfonium_cation_(tertiary),C[S+](C)C,[#6v4]-[#16v3+](-[#6v4])-[#6v4]
196,37522,Phosphine_(secondary),CPC,[#6v4]-[#15v3](-[#1])-[#6v4]
197,37450,Dithioacetal,CSC(C)SC,[#6v4]-[#6v4](-[#16v2]-[#6v4])(-[#16v2]-[#6v4])-[#1]
198,36632,Fluoro_(S),FS,[#16]-[#9v1]
199,36451,Thioketone,CC(C)=S,[#6v4]-[#6v4](=[#16v2])-[#6v4]
200,36430,Phosphonic_acid_ester,COP(C)(=O)O,[#6v4]-[#15v5](=[#8v2])(-[#8v2]-[#1])-[#8v2]-[#6v4]
201,36139,N-(N-Hydroxy)carboxamide,CC(=O)N(C)O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#8v2]-[#1]
202,36005,"N,N-Carbothioamide",CC(=S)N(C)C,[#6v4]-[#6v4](=[#16v2])-[#7v3](-[#6v4])-[#6v4]
203,35951,Azidosulfanylalkane,CSN=[N+]=[N-],[#6v4]-[#16v2]-[#7v3]=[#7v4+]=[#7v2-]
204,35214,"N,N'-Sulfamide",CNS(=O)(=O)NC,[#6v4]-[#7v3](-[#1])-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#6v4]
205,34497,N-Phosphoramidate_ester,CNP(=O)(OC)OC,[#6v4]-[#8v2]-[#15v5](=[#8v2])(-[#8v2]-[#6v4])-[#7v3](-[#1])-[#6v4]
206,34171,"Geminal_N,N'-diamine_(secondary)",CNC(C)(C)NC,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#7v3](-[#1])-[#6v4])-[#6v4]
207,34049,N'-Carbamimidothioate_ester,CN=C(N)SC,[#6v4]-[#16v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#1]
208,34036,1-Guanidine,CNC(=N)N,[#6v4]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#1])-[#7v3](-[#1])-[#1]
209,33191,"α-S-Sulfanyl_N,N-amine_(secondary)",CSC(C)(C)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#16v2]-[#6v4])-[#6v4]
210,33109,Geminal_diol_(secondary),CC(C)(O)O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#8v2]-[#1])-[#6v4]
211,33051,N-Cyanamide,CNC#N,[#6v4]-[#7v3](-[#1])-[#6v4]#[#7v3]
212,32988,O-Carboxamidoxime,CON=C(C)N,[#6v4]-[#6v4](=[#7v3]-[#8v2]-[#6v4])-[#7v3](-[#1])-[#1]
213,32406,"N,N-Sulfinamide",CN(C)S(C)=O,[#6v4]-[#16v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
214,32370,Boronic_acid_ester,COB(C)O,[#6v4]-[#5v3](-[#8v2]-[#1])-[#8v2]-[#6v4]
215,32158,N-Hydrazinecarbothioamide_(2-ethylidene),CC=NNC(=S)NC,[#6v4](-[#6v4])(-[#1])=[#7v3]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#6v4]
216,31265,N'-(N-Sulfonyl)urea,CNC(=O)NS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
217,31151,α-N-Amino_alcohol_(secondary),CNC(C)(C)O,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#8v2]-[#1])-[#6v4]
218,31061,"α-N,N-Amino_alcohol_(secondary)",CN(C)C(C)(C)O,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#8v2]-[#1])-[#6v4]
219,30797,"N,N-Aldiminium_cation",CC=[N+](C)C,[#6v4]-[#6v4](=[#7v4+](-[#6v4])-[#6v4])-[#1]
220,30195,Carboxamide_(N-propan-2-ylidene),CC(=O)N=C(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3]=[#6v4](-[#6v4])-[#6v4]
221,29939,"N,2-Hydrazinecarboxamide",CNNC(=O)NC,[#6v4]-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
222,29907,"N,N',N''-Carboximidohydrazide",CN=C(C)N(C)NC,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#7v3](-[#6v4])-[#1]
223,29630,Dithioketal,CSC(C)(C)SC,[#6v4]-[#6v4](-[#16v2]-[#6v4])(-[#16v2]-[#6v4])-[#6v4]
224,29224,N-Carbamodithioate_ester,CNC(=S)SC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#16v2]-[#6v4]
225,29216,Carboperoxoate_ester,COOC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#8v2]-[#6v4]
226,29160,α-Oxo_carboxylic_acid,CC(=O)C(=O)O,[#6v4]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#8v2]-[#1]
227,29062,Amino_(N-propan-2-ylidene)_carboxylate,CC(=O)ON=C(C)C,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#7v3]=[#6v4](-[#6v4])-[#6v4]
228,28494,1-Diazene,CN=N,[#6v4]-[#7v3]=[#7v3]-[#1]
229,28051,Phosphinate_ester,COP(C)(C)=O,[#6v4]-[#15v5](=[#8v2])(-[#8v2]-[#6v4])-[#6v4]
230,27213,Chloro_(P),PCl,[#15]-[#17v1]
231,26720,Fluoro_(N),NF,[#7]-[#9v1]
232,25212,Phosphinic_acid,CP(C)(=O)O,[#6v4]-[#15v5](=[#8v2])(-[#8v2]-[#1])-[#6v4]
233,24930,"1,2-(1-Azido)hydrazine",CNN(C)N=[N+]=[N-],[#7v2-]=[#7v4+]=[#7v3]-[#7v3](-[#6v4])-[#7v3](-[#1])-[#6v4]
234,24826,α-Oxo_carboxamide,CC(=O)C(N)=O,[#6v4]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
235,24563,N-Amino_carboxylate,CNOC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#7v3](-[#1])-[#6v4]
236,24391,N'-Carbamimidate_ester,CN=C(N)OC,[#6v4]-[#8v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#1]
237,24323,Sulfinic_acid,CS(=O)O,[#6v4]-[#16v4](=[#8v2])-[#8v2]-[#1]
238,24234,"N,1,2-Hydrazinecarboxamide",CNC(=O)N(C)NC,[#6v4]-[#7v3](-[#1])-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
239,23980,"1,1-Guanidine",CN(C)C(=N)N,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#1])-[#7v3](-[#1])-[#1]
240,23545,N'-(N-Acyl)carbohydrazide,CNN(C(C)=O)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#7v3](-[#1])-[#6v4])-[#6v4](=[#8v2])-[#6v4]
241,23507,"N,N-Cyanamide",CN(C)C#N,[#6v4]-[#7v3](-[#6v4])-[#6v4]#[#7v3]
242,23498,Isothiocyanate_ester,CN=C=S,[#6v4]-[#7v3]=[#6v4]=[#16v2]
243,23435,"N,N-Formaliminium_cation",C=[N+](C)C,[#1]-[#6v4](=[#7v4+](-[#6v4])-[#6v4])-[#1]
244,23334,Amine_N-oxide_(tertiary),C[N+](C)(C)[O-],[#6v4]-[#7v4+](-[#8v1-])(-[#6v4])-[#6v4]
245,23217,N'-Sulfonohydrazide,CNNS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4]
246,23184,"N,N-(N'-Sulfonyl)carboximidamide",CC(=NS(C)(=O)=O)N(C)C,[#6v4]-[#6v4](=[#7v3]-[#16v6](=[#8v2])(=[#8v2])-[#6v4])-[#7v3](-[#6v4])-[#6v4]
247,22813,N'-(N-Sulfonyl)carboximidamide,CN=C(C)NS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#6v4]
248,22422,"Geminal_N,N,N',N'-diamine_(secondary)",CN(C)C(C)(C)N(C)C,[#6v4]-[#6v4](-[#7v3](-[#6v4])-[#6v4])(-[#7v3](-[#6v4])-[#6v4])-[#6v4]
249,21875,Thioperoxide,COSC,[#6v4]-[#16v2]-[#8v2]-[#6v4]
250,21278,"N,N'-Carbamimidate_ester",CN=C(NC)OC,[#6v4]-[#8v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4]
251,21047,Fluoro_(P),FP,[#15]-[#9v1]
252,20393,Ketene_(dimethyl),CC(C)=C=O,[#6v4]-[#6v4](=[#6v4]=[#8v2])-[#6v4]
253,19208,Sulfane(IV),CS(C)(C)C,[#6v4]-[#16v4](-[#6v4])(-[#6v4])-[#6v4]
254,19025,(N-Azido)carboxamide,CC(=O)NN=[N+]=[N-],[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3]=[#7v4+]=[#7v2-]
255,18915,"N,N,N'-Carbamimidate_ester",CN=C(OC)N(C)C,[#6v4]-[#8v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#6v4]
256,18557,N-Sulfoximide,CN=S(C)(C)=O,[#6v4]-[#16v6](=[#8v2])(=[#7v3]-[#6v4])-[#6v4]
257,18373,Carbothioic_S-acid,CC(=O)S,[#6v4]-[#6v4](=[#8v2])-[#16v2]-[#1]
258,18206,Sulfonyl_azide,CS(=O)(=O)N=[N+]=[N-],[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3]=[#7v4+]=[#7v2-]
259,18033,Thiocyanate_ester,CSC#N,[#6v4]-[#16v2]-[#6v4]#[#7v3]
260,17990,"N',N'-(N-Acyl)carbohydrazide",CC(=O)N(C(C)=O)N(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#7v3](-[#6v4])-[#6v4])-[#6v4](=[#8v2])-[#6v4]
261,17738,N-Iminocarboxamide,CN=NC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3]=[#7v3]-[#6v4]
262,17262,2-Hydrazinecarboxylate_ester,CNNC(=O)OC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4]
263,16679,Carbothioate_O-ester,COC(C)=S,[#6v4]-[#6v4](=[#16v2])-[#8v2]-[#6v4]
264,16556,"N,1,2,2-Hydrazinecarboxamide",CNC(=O)N(C)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
265,16341,α-Oxy_amine_(primary),COC(C)N,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#8v2]-[#6v4])-[#1]
266,16279,"N,N,O-(N-Hydroxy)sulfonamide",CON(C)S(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#8v2]-[#6v4])-[#6v4]
267,15986,α-N-Imino_ketone,CN=C(C)C(C)=O,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#6v4](=[#8v2])-[#6v4]
268,15947,"N,N-Thiohydroxylamine",CN(C)S,[#1]-[#16v2]-[#7v3](-[#6v4])-[#6v4]
269,15901,(N-Acyl)carbohydrazide_(N'-ethylidene),CC=NN(C(C)=O)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#7v3]=[#6v4](-[#1])-[#6v4])-[#6v4](=[#8v2])-[#6v4]
270,15690,Phosphite_ester,COP(OC)OC,[#6v4]-[#8v2]-[#15v3](-[#8v2]-[#6v4])-[#8v2]-[#6v4]
271,15688,Diazo_(propane),CC(C)=[N+]=[N-],[#6v4]-[#6v4](-[#6v4])=[#7v4+]=[#7v2-]
272,15618,"N,N-Urea_(N'-propan-2-ylidene)",CC(C)=NC(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3]=[#6v4](-[#6v4])-[#6v4]
273,15489,Carbonazidate_ester,COC(=O)N=[N+]=[N-],[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3]=[#7v4+]=[#7v2-]
274,15247,S-(N-Sulfanyl)carboxamide,CSNC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#16v2]-[#6v4]
275,15232,Hydrazone_(ketone),CC(C)=NN,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#1])-[#1])-[#6v4]
276,14984,N-Sulfamide,CNS(N)(=O)=O,[#6v4]-[#7v3](-[#1])-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#1]
277,14899,N-Carboximidamide,CNC(C)=N,[#6v4]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#1])-[#6v4]
278,14864,Stannyl_(O),O[Sn],[#8]-[#50]
279,14773,N-Urea_(N'-propan-2-ylidene),CNC(=O)N=C(C)C,[#6v4]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3]=[#6v4](-[#6v4])-[#6v4]
280,14773,N-Hydrazinecarbothioamide_(2-propan-2-ylidene),CNC(=S)NN=C(C)C,[#6v4](-[#6v4])(-[#6v4])=[#7v3]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#6v4]
281,14706,Sulfonohydrazide_(N-ethylidene),CC=NNS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#7v3]=[#6v4](-[#1])-[#6v4]
282,14531,Fluoro_(O),OF,[#8]-[#9v1]
283,14367,"N,N-Phosphoramidite_ester",COP(OC)N(C)C,[#6v4]-[#8v2]-[#15v3](-[#8v2]-[#6v4])-[#7v3](-[#6v4])-[#6v4]
284,14277,Iodo_(O),OI,[#8]-[#53v1]
285,14208,"1,1,3-Triazane",CNNN(C)C,[#6v4]-[#7v3](-[#6v4])-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4]
286,14176,"N2,N3-2,3-Diimine_(butane)",CN=C(C)C(C)=NC,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#6v4](=[#7v3]-[#6v4])-[#6v4]
287,14137,α-Hydroxy_carboxamide,CC(O)C(N)=O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
288,14098,α-Amino_alcohol_(primary),CC(N)O,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#8v2]-[#1])-[#1]
289,13921,"2,2-Hydrazinecarboxylate_ester",COC(=O)NN(C)C,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3](-[#6v4])-[#6v4]
290,13875,"N,1-Hydrazinecarboximidothioate_ester_(2-ethylidene)",CC=NN(C)C(=NC)SC,[#6v4]-[#16v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#7v3]=[#6v4](-[#1])-[#6v4]
291,13826,N'-Formimidamide,CN=CN,[#1]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#1]
292,13800,Ketene_(methyl),CC=C=O,[#6v4]-[#6v4](=[#6v4]=[#8v2])-[#1]
293,13789,N-(N'-Sulfonyl)carboximidamide,CNC(C)=NS(C)(=O)=O,[#6v4]-[#6v4](=[#7v3]-[#16v6](=[#8v2])(=[#8v2])-[#6v4])-[#7v3](-[#1])-[#6v4]
294,13731,"N,N,N',N'-Carbohydrazonamide",CC(=NN(C)C)N(C)C,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#6v4])-[#6v4])-[#7v3](-[#6v4])-[#6v4]
295,13698,"N,S-(N-Sulfanyl)carboxamide",CSN(C)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#16v2]-[#6v4]
296,13603,N-Carbamothioate_O-ester,CNC(=S)OC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#8v2]-[#6v4]
297,13493,"N,N'-Hydrazinecarboximidamide",CN=C(NC)NN,[#1]-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4]
298,13275,Iodo_(S),SI,[#16]-[#53v1]
299,13148,Azido_carboxylate,CC(=O)ON=[N+]=[N-],[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#7v3]=[#7v4+]=[#7v2-]
300,12987,N-Urea_(N'-ethylidene),CC=NC(=O)NC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3]=[#6v4](-[#1])-[#6v4]
301,12939,N-Carboximidic_acid,CN=C(C)O,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#8v2]-[#1]
302,12922,Dihydroxysulfane(IV),CS(C)(O)O,[#6v4]-[#16v4](-[#6v4])(-[#8v2]-[#1])-[#8v2]-[#1]
303,12771,Sulfamate_ester,COS(N)(=O)=O,[#6v4]-[#8v2]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#1]
304,12583,N-(N-Hydroxy)formamide,CN(O)C=O,[#1]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#8v2]-[#1]
305,12466,"N,N-Nitrous_amide",CN(C)N=O,[#6v4]-[#7v3](-[#6v4])-[#7v3]=[#8v2]
306,12418,N'-Carboximidamide_(N-propan-2-ylidene),CN=C(C)N=C(C)C,[#6v4]-[#6v4](-[#6v4])=[#7v3]-[#6v4](-[#6v4])=[#7v3]-[#6v4]
307,12373,Bromo_(N),NBr,[#7]-[#35v1]
308,12357,N-Thiourea,CNC(N)=S,[#6v4]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#1]
309,12277,"Phosphorothioic_O-acid_O,O-ester",COP(O)(=S)OC,[#6v4]-[#8v2]-[#15v5](=[#16v2])(-[#8v2]-[#1])-[#8v2]-[#6v4]
310,12217,1-Triazene,CN=NN,[#6v4]-[#7v3]=[#7v3]-[#7v3](-[#1])-[#1]
311,12083,"1,2-Hydrazinecarbodithioate_ester",CNN(C)C(=S)SC,[#6v4]-[#16v2]-[#6v4](=[#16v2])-[#7v3](-[#6v4])-[#7v3](-[#1])-[#6v4]
312,11919,S-Thiohydroxylamine,CSN,[#6v4]-[#16v2]-[#7v3](-[#1])-[#1]
313,11842,Trioxy,COOOC,[#6v4]-[#8v2]-[#8v2]-[#8v2]-[#6v4]
314,11823,"N,N-Carbohydrazonate_ester",COC(C)=NN(C)C,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#6v4])-[#6v4])-[#8v2]-[#6v4]
315,11650,"1,2-Hydrazinecarboxylate_ester",CNN(C)C(=O)OC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3](-[#1])-[#6v4]
316,11518,"N,N-Sulfamic_acid",CN(C)S(=O)(=O)O,[#1]-[#8v2]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#6v4])-[#6v4]
317,11502,N-Carbonimidodithioate_ester,CN=C(SC)SC,[#6v4]-[#16v2]-[#6v4](=[#7v3]-[#6v4])-[#16v2]-[#6v4]
318,11452,α-S-Sulfanyl_N-amine_(secondary),CNC(C)(C)SC,[#6v4]-[#6v4](-[#7v3](-[#1])-[#6v4])(-[#16v2]-[#6v4])-[#6v4]
319,11409,Hydrazone_(carbaldehyde),CC=NN,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#1])-[#1])-[#1]
320,11406,"N',N'-Sulfonohydrazide",CN(C)NS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#7v3](-[#6v4])-[#6v4]
321,11247,"1,1,3,3-Guanidine",CN(C)C(=N)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#7v3]-[#1])-[#7v3](-[#6v4])-[#6v4]
322,11225,α-Hydroxy_carbaldehyde,CC(O)C=O,[#6v4]-[#6v4](-[#8v2]-[#1])(-[#1])-[#6v4](=[#8v2])-[#1]
323,11210,"N,N-Urea_(N'-ethylidene)",CC=NC(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3]=[#6v4](-[#1])-[#6v4]
324,10986,"Carbonothioate_O,S-ester",COC(=O)SC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#16v2]-[#6v4]
325,10916,Phosphinite_ester_(primary),COP,[#1]-[#15v3](-[#1])-[#8v2]-[#6v4]
326,10899,N-Nitramide,CN[N+](=O)[O-],[#6v4]-[#7v3](-[#1])-[#7v4+](=[#8v2])-[#8v1-]
327,10843,α-Amino_carboxamide,CC(N)C(N)=O,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
328,10811,"N,N-Sulfamide",CN(C)S(N)(=O)=O,[#6v4]-[#7v3](-[#6v4])-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#1]
329,10804,Carbothialdehyde,CC=S,[#6v4]-[#6v4](=[#16v2])-[#1]
330,10744,N'-(N-Hydroxy)carboximidamide,CN=C(C)NO,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#8v2]-[#1]
331,10486,N-Aldimine_N-oxide,CC=[N+](C)[O-],[#6v4]-[#6v4](=[#7v4+](-[#6v4])-[#8v1-])-[#1]
332,10471,Sulfonyl_fluoride,CS(=O)(=O)F,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#9v1]
333,10431,Carboximidothioate_ester,CSC(C)=N,[#6v4]-[#6v4](=[#7v3]-[#1])-[#16v2]-[#6v4]
334,10428,"N,N-Carbamothioate_O-ester",COC(=S)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#16v2])-[#8v2]-[#6v4]
335,10426,"N,O,O'-Dihydroxylamine",CON(C)OC,[#6v4]-[#8v2]-[#7v3](-[#6v4])-[#8v2]-[#6v4]
336,10419,Hydrazinecarbothioamide_(2-ethylidene),CC=NNC(N)=S,[#6v4](-[#6v4])(-[#1])=[#7v3]-[#7v3](-[#1])-[#6v4](=[#16v2])-[#7v3](-[#1])-[#1]
337,10391,Chloro_(O),OCl,[#8]-[#17v1]
338,10356,N-Formimidate_ester,CN=COC,[#1]-[#6v4](=[#7v3]-[#6v4])-[#8v2]-[#6v4]
339,10318,"N,N-Hydroxylamine-O-carboxylate_ester",COC(=O)ON(C)C,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#8v2]-[#7v3](-[#6v4])-[#6v4]
340,10288,"1,2,2-Hydrazinecarboxylate_ester",COC(=O)N(C)N(C)C,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3](-[#6v4])-[#6v4]
341,10152,N-Azidocarboxamide,CNC(=O)N=[N+]=[N-],[#6v4]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3]=[#7v4+]=[#7v2-]
342,10124,Monothioketal,COC(C)(C)SC,[#6v4]-[#6v4](-[#8v2]-[#6v4])(-[#16v2]-[#6v4])-[#6v4]
343,10073,N-(N-Azido)carboxamide,CC(=O)N(C)N=[N+]=[N-],[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#7v3]=[#7v4+]=[#7v2-]
344,9934,α-Oxy_amine_(secondary),COC(C)(C)N,[#6v4]-[#6v4](-[#7v3](-[#1])-[#1])(-[#8v2]-[#6v4])-[#6v4]
345,9934,N'-Carboximidamide_(N-ethylidene),CC=NC(C)=NC,[#6v4]-[#6v4](-[#1])=[#7v3]-[#6v4](-[#6v4])=[#7v3]-[#6v4]
346,9891,Tellanyl,C[Te],[#6v4]-[#52]
347,9870,N-Sulfamate_ester,CNS(=O)(=O)OC,[#6v4]-[#8v2]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#6v4])-[#1]
348,9697,Sulfonohydrazide_(N-propan-2-ylidene),CC(C)=NNS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#7v3]=[#6v4](-[#6v4])-[#6v4]
349,9658,N-Carboximidic_carboxylic_anhydride,CN=C(C)OC(C)=O,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#8v2]-[#6v4](=[#8v2])-[#6v4]
350,9634,Sulfinate_ester,COS(C)=O,[#6v4]-[#16v4](=[#8v2])-[#8v2]-[#6v4]
351,9633,O-Trihydroxylamine,CON(O)O,[#6v4]-[#8v2]-[#7v3](-[#8v2]-[#1])-[#8v2]-[#1]
352,9627,Carboxamide_(N-ethylidene),CC=NC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3]=[#6v4](-[#1])-[#6v4]
353,9626,"1,3-Triazene",CN=NNC,[#6v4]-[#7v3]=[#7v3]-[#7v3](-[#1])-[#6v4]
354,9597,N-Hydrazinecarboxamide_(2-ethylidene),CC=NNC(=O)NC,[#6v4](-[#6v4])(-[#1])=[#7v3]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
355,9588,"N,1-Hydrazinecarboxamide_(2-ethylidene)",CC=NN(C)C(=O)NC,[#6v4](-[#6v4])(-[#1])=[#7v3]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
356,9531,"N,N-Carbamimidothioate_ester",CSC(=N)N(C)C,[#6v4]-[#16v2]-[#6v4](=[#7v3]-[#1])-[#7v3](-[#6v4])-[#6v4]
357,9280,N-Oxocarboxamide,CC(=O)N=O,[#6v4]-[#6v4](=[#8v2])-[#7v3]=[#8v2]
358,9208,Cyanate_ester,COC#N,[#6v4]-[#8v2]-[#6v4]#[#7v3]
359,9102,"N,N-Sulfuramidous_acid",CN(C)S(=O)O,[#1]-[#8v2]-[#16v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
360,9085,"N,N',N'-Carbohydrazonamide",CNC(C)=NN(C)C,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#6v4])-[#6v4])-[#7v3](-[#6v4])-[#1]
361,9021,"N,2,2-Hydrazinecarboxamide",CNC(=O)NN(C)C,[#6v4]-[#7v3](-[#6v4])-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
362,8889,"N,N',N',O-(N-Hydroxy)urea",CON(C)C(=O)N(C)C,[#6v4]-[#8v2]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
363,8873,P-Phosphonite_ester,COP(C)OC,[#6v4]-[#15v3](-[#8v2]-[#6v4])-[#8v2]-[#6v4]
364,8843,N-Disulfonamide,CN(S(C)(=O)=O)S(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#6v4])-[#16v6](=[#8v2])(=[#8v2])-[#6v4]
365,8726,Diazo_(ethane),CC=[N+]=[N-],[#6v4]-[#6v4](-[#1])=[#7v4+]=[#7v2-]
366,8697,"N,O-(N-Hydroxy)carbamate_ester",COC(=O)N(C)OC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#8v2]-[#6v4]
367,8600,N-Ketiminium_cation,C[NH+]=C(C)C,[#6v4]-[#6v4](=[#7v4+](-[#1])-[#6v4])-[#6v4]
368,8597,Oxalate_ester,COC(=O)C(=O)OC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#6v4](=[#8v2])-[#8v2]-[#6v4]
